;Background
REGIONNAME City of Derry
smrGreen N055.02.50.496 W007.09.45.462
N055.02.23.018 W007.09.26.583
N055.02.23.171 W007.09.26.480
N055.02.23.301 W007.09.26.304
N055.02.23.396 W007.09.26.056
N055.02.24.464 W007.09.17.533
N055.02.24.820 W007.09.17.675

;West Apron
REGIONNAME City of Derry
smrGDapron N055.02.17.327 W007.10.02.666
N055.02.17.448 W007.10.02.528
N055.02.17.495 W007.10.02.348
N055.02.17.504 W007.10.02.218
N055.02.18.452 W007.10.01.028
N055.02.18.508 W007.10.00.849
N055.02.18.546 W007.10.00.686
N055.02.18.546 W007.10.00.597
N055.02.18.868 W007.10.00.311
N055.02.18.853 W007.10.00.395
N055.02.18.820 W007.10.00.662
N055.02.18.825 W007.10.00.752
N055.02.18.881 W007.10.00.756
N055.02.18.948 W007.10.00.680
N055.02.20.681 W007.09.57.571
N055.02.20.709 W007.09.57.522
N055.02.20.740 W007.09.57.500
N055.02.21.456 W007.09.56.622
N055.02.21.530 W007.09.56.687
